City name,Airport Code,Airport Name,Country name
Monticello,MXO,Municipal International Airport,United States
Monticello,MSV,Sullivan County Intl,United States
Monticello,MXC,San Juan County International Airport,United States
Montilla,OZU,Montilla International Airport,Spain
Montlucon,MCU,Gueret (Lepaud) International Airport,France
Monto,MNQ,Monto International Airport,Australia
Montpelier,MPV,Edward F Knapp State International Airport,United States
Montpellier,MPL,Montpellier Méditerranée International Airport,France
Montpellier,XPJ,Montpellier Railway International Airport,France
Montreal,YMX,Mirabel International Airport,Canada
Montreal,YUL,Montreal International Airport,Canada
Montreal,YHU,St Hubert International Airport,Canada
Montreal,XLM,St Lambert Rail Svce. International Airport,Canada
Montrose,MTJ,Montrose County International Airport,United States
Montserrat,MNI,Bramble International Airport,Montserrat
Montvale,QMV,Montvale International Airport,United States
Monument Valley Gldngs,GMV,Monument Valley International Airport,United States
Moolawatana,MWT,Moolawatana International Airport,Australia
Moomba,MOO,Moomba International Airport,Australia
Moorabbin,MBW,Moorabbin International Airport,Australia
Mooraberree,OOR,Mooraberree International Airport,Australia
Moorea,MOZ,Temae International Airport,French Polynesia
Moose Jaw,YMJ,Moose Jaw / Air Vice Marshal C. M. Mcewen Airport,Canada
Moose Lake,YAD,Moose Lake International Airport,Canada
Moosonee,YMO,Moosonee International Airport,Canada
Mopti,MZI,Mopti International Airport,Mali
Mora,MXX,Mora International Airport,Sweden
Morafenobe,TVA,Morafenobe International Airport,Madagascar
Moranbah,MOV,Moranbah International Airport,Australia
Morawa,MWB,Morawa International Airport,Australia
Moree,MRZ,Moree International Airport,Australia
Morehead,MHY,Morehead International Airport,Papua New Guinea
Morelia,MLM,Morelia International Airport,Mexico
Moreton,MET,Moreton International Airport,Australia
Morganton,MRN,Lenoir International Airport,United States
Morgantown,MGW,Morgantown International Airport,United States
Morichal,MHF,Morichal International Airport,Colombia
Morlaix,MXN,Morlaix International Airport,France
Morney,OXY,Morney International Airport,Australia
Mornington,ONG,Mornington International Airport,Australia
Moro,MXH,Moro International Airport,Papua New Guinea
Moroak,MRT,Moroak International Airport,Australia
Morobe,OBM,Morobe International Airport,Papua New Guinea
Morombe,MXM,Morombe International Airport,Madagascar
Moron,OZP,Moron International Airport,Spain
Moron,MXV,Moron International Airport,Mongolia
Morondava,MOQ,Morondava International Airport,Madagascar
Moroni,YVA,Iconi International Airport,Comoros
Moroni,HAH,Prince Said Ibrahim In International Airport,Comoros
"Pitu, Morotai Island",OTI,Morotai Island International Airport,Indonesia
Morrilton,MPJ,Petit Jean Park International Airport,United States
Morris,MOX,Municipal International Airport,United States
Morristown,MMU,Municipal International Airport,United States
Morristown,MOR,Moore-Murrell International Airport,United States
Moruya,MYA,Moruya International Airport,Australia
Moscow,BKA,Bykovo International Airport,Russian Federation
Moscow,DME,Domodedovo International Airport,Russian Federation
Moscow,ZKD,Leningradskiy Rail Stn International Airport,Russian Federation
Moscow,XRK,Paveletskiy Rail Stn. International Airport,Russian Federation
Moscow,SVO,Sheremetyevo International Airport,Russian Federation
Moscow,VKO,Vnukovo International Airport,Russian Federation
Moser Bay,KMY,Moser Bay International Airport,United States
Moses Lake,MWH,Grant County International Airport,United States
Moses Lake,LRN,Larson AFB International Airport,United States
Moses Point,MOS,Intermediate International Airport,United States
Mosjoen,MJF,Kjaerstad International Airport,Norway
Mosquera,MQR,Mosquera International Airport,Colombia
Mossel Bay,MZY,Mossel Bay International Airport,South Africa
Mossendjo,MSX,Mossendjo International Airport,Congo
Mossoro,MVF,Dixsept Rosado International Airport,Brazil
Mostaganem,MQV,Mostaganem International Airport,Algeria
Mostar,OMO,Mostar International Airport,Bosnia and Herzegovina
Mosteiros,MTI,Mosteiros International Airport,Cape Verde
Mostyn,MZS,Mostyn International Airport,Malaysia
Mosul,OSM,Mosul International Airport,Iraq
Mota,OTA,Mota International Airport,Ethiopia
Mota Lava,MTV,Mota Lava International Airport,Vanuatu
Motswari,MWR,Motswari Airfield International Airport,South Africa
Motueka,MZP,Motueka International Airport,New Zealand (Aotearoa)
Moudjeria,MOM,Moudjeria International Airport,Mauritania
Mougulu,GUV,Mougulu International Airport,Papua New Guinea
Mouila,MJL,Mouila International Airport,Gabon
Mould Bay,YMD,Mould Bay International Airport,Canada
Moultrie,MUL,Spence International Airport,United States
Moultrie,MGR,Thomasville International Airport,United States
Moundou,MQQ,Moundou International Airport,Chad
Mount Aue,UAE,Mount Aue International Airport,Papua New Guinea
Mount Buffalo,MBF,Mount Buffalo International Airport,Australia
Mount Cook,GTN,Glentanner International Airport,New Zealand (Aotearoa)
Mount Cook,MON,Mount Cook Airport,New Zealand (Aotearoa)
Mount Cook,TWZ,Pukaki/Twizel International Airport,New Zealand (Aotearoa)
Mount Full Stop,MFL,Mount Full Stop International Airport,Australia
Mount Gambier,MGB,Mount Gambier International Airport,Australia
Mount Gunson,GSN,Mount Gunson International Airport,Australia
Mount Hagen,HGU,Kagamuga International Airport,Papua New Guinea
Mount Holly,LLY,Burlington County International Airport,United States
Mount Hotham,MHU,Mount Hotham International Airport,Australia
Mount House,MHO,Mount House International Airport,Australia
Mount Isa,ISA,Mount Isa International Airport,Australia
Mount Keith,WME,Mount Keith International Airport,Australia
Mount Magnet,MMG,Mount Magnet International Airport,Australia
Mount Pleasant,MPN,Mount Pleasant International Airport,Falkland Islands
Mount Pleasant,MOP,Municipal International Airport,United States
Mount Pleasant,MPS,Mount Pleasant International Airport,United States
Mount Shasta,MHS,Rep International Airport,United States
Mount Swan,MSF,Mount Swan International Airport,Australia
Mount Union,MUU,Mount Union International Airport,United States
Mount Vernon,MVW,Skagit Regional International Airport,United States
Mount Wilson,MWS,Mount Wilson International Airport,United States
Mountain,MWP,Mountain International Airport,Nepal
Mountain Home,WMH,Mountain Home International Airport,United States
Mountain Home,MUO,AFB International Airport,United States
Mountain Valley,MNV,Mountain Valley International Airport,Australia
Mountain View,NUQ,Moffett Field International Airport,United States
Mountain Village,MOU,Mountain Village International Airport,United States
Mouscron,MWW,Mouscron International Airport,Belgium
Mouyondzi,MUY,Mouyondzi International Airport,Congo
Moyale,MYS,Moyale International Airport,Ethiopia
Moyale,OYL,Moyale International Airport,Kenya
Moyo,OYG,Moyo International Airport,Uganda
Moyobamba,MBP,Moyobamba International Airport,Peru
Mt Barnett,MBN,Mt Barnett International Airport,Australia
Mt Cavenagh,MKV,Mt Cavenagh International Airport,Australia
Mt Clemens,NFB,Detroit NAF International Airport,United States
